2026-07-16 20:47:25.060 CST [12220] 日志:  正在启动 PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35219, 64-bit
2026-07-16 20:53:00.741 CST [11108] 日志:  checkpoint complete: wrote 25 buffers (0.3%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.702 s, sync=0.010 s, total=2.726 s; sync files=4, longest=0.004 s, average=0.003 s; distance=85 kB, estimate=85 kB; lsn=0/122EA400, redo lsn=0/122EA3A8
2026-07-17 04:08:00.882 CST [11108] 日志:  checkpoint starting: time
2026-07-17 04:08:11.730 CST [11108] 日志:  checkpoint complete: wrote 97 buffers (1.2%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=10.766 s, sync=0.059 s, total=10.848 s; sync files=22, longest=0.012 s, average=0.003 s; distance=659 kB, estimate=659 kB; lsn=0/1238F200, redo lsn=0/1238F170
2026-07-17 19:38:03.797 CST [11108] 日志:  checkpoint starting: time
2026-07-17 19:38:34.843 CST [11108] 日志:  checkpoint complete: wrote 280 buffers (3.4%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=30.800 s, sync=0.223 s, total=31.047 s; sync files=105, longest=0.012 s, average=0.003 s; distance=1743 kB, estimate=1743 kB; lsn=0/126F3008, redo lsn=0/12542F00
2026-07-17 19:43:03.858 CST [11108] 日志:  checkpoint starting: time
2026-07-17 19:44:21.217 CST [11108] 日志:  checkpoint complete: wrote 707 buffers (8.6%), wrote 2 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=77.090 s, sync=0.249 s, total=77.360 s; sync files=118, longest=0.013 s, average=0.003 s; distance=4984 kB, estimate=4984 kB; lsn=0/12D41FD8, redo lsn=0/12A21208
2026-07-17 19:48:03.229 CST [11108] 日志:  checkpoint starting: time
2026-07-17 19:49:04.839 CST [11108] 日志:  checkpoint complete: wrote 562 buffers (6.9%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=61.344 s, sync=0.245 s, total=61.611 s; sync files=120, longest=0.004 s, average=0.003 s; distance=4056 kB, estimate=4891 kB; lsn=0/12E17628, redo lsn=0/12E17598
2026-07-17 19:53:03.852 CST [11108] 日志:  checkpoint starting: time
2026-07-17 19:53:44.230 CST [11108] 日志:  checkpoint complete: wrote 368 buffers (4.5%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=40.146 s, sync=0.215 s, total=40.378 s; sync files=101, longest=0.013 s, average=0.003 s; distance=2296 kB, estimate=4632 kB; lsn=0/13055980, redo lsn=0/130558F0
2026-07-17 20:53:03.339 CST [11108] 日志:  checkpoint starting: time
2026-07-17 20:53:03.472 CST [11108] 日志:  checkpoint complete: wrote 1 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.107 s, sync=0.004 s, total=0.133 s; sync files=1, longest=0.004 s, average=0.004 s; distance=5 kB, estimate=4169 kB; lsn=0/13057070, redo lsn=0/13057018
2026-07-17 21:43:03.559 CST [11108] 日志:  checkpoint starting: time
2026-07-17 21:43:03.805 CST [11108] 日志:  checkpoint complete: wrote 2 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.226 s, sync=0.006 s, total=0.247 s; sync files=2, longest=0.004 s, average=0.003 s; distance=13 kB, estimate=3754 kB; lsn=0/1305A828, redo lsn=0/1305A7D0
2026-07-18 19:53:09.956 CST [11108] 日志:  checkpoint starting: time
2026-07-18 19:53:16.952 CST [11108] 日志:  checkpoint complete: wrote 69 buffers (0.8%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=6.933 s, sync=0.041 s, total=6.996 s; sync files=16, longest=0.012 s, average=0.003 s; distance=403 kB, estimate=3419 kB; lsn=0/130BF7F0, redo lsn=0/130BF760
2026-07-18 20:53:09.958 CST [11108] 日志:  checkpoint starting: time
2026-07-18 20:53:11.108 CST [11108] 日志:  checkpoint complete: wrote 11 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.106 s, sync=0.023 s, total=1.150 s; sync files=6, longest=0.013 s, average=0.004 s; distance=47 kB, estimate=3081 kB; lsn=0/130CB570, redo lsn=0/130CB518
2026-07-18 21:53:09.159 CST [11108] 日志:  checkpoint starting: time
2026-07-18 21:53:09.528 CST [11108] 日志:  checkpoint complete: wrote 3 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.332 s, sync=0.017 s, total=0.370 s; sync files=2, longest=0.014 s, average=0.009 s; distance=3 kB, estimate=2774 kB; lsn=0/130CC4A0, redo lsn=0/130CC448
2026-07-20 19:15:14.648 CST [22140] 鏃ュ織:  鏃犳硶浠庡鎴风鑾峰緱鏁版嵁: An existing connection was forcibly closed by the remote host.
	
